run, iterations, problem, colony size, Setup rand Kernel, read map, Distance Kernel, Iroulete , Route , Pheromone, Best Check,  Copy Data,Fitness ,Total Time,,
1,15,7,1024,8E-05,0.00149,0.0001,0.0035,0.17418,0.00054,0.00054,4E-05,50034.365323,2.630457,read,0.010118
2,15,7,1024,7E-05,0.00148,0.0001,0.0035,0.17428,0.00054,0.00054,2E-05,50679.010822,2.632015,dist,0.000108
3,15,7,1024,7E-05,0.00148,0.0001,0.00352,0.17438,0.00054,0.00054,2E-05,50483.178122,2.633308,roulete,0.003834
4,15,7,1024,7E-05,0.00144,0.0001,0.0035,0.17426,0.00055,0.00055,6E-05,50347.057833,2.631596,route,0.174766
0,,,,,,,,,,,,,,phero,0.000544
0,,,,,,,,,,,,,,check,0.000544
0,,,,,,,,,,,,,,cpy,4.2E-05
0,,,,,,,,,,,,,,total,2.6749468
0,15,7,2048,8E-05,0.0014,0.0001,0.00351,0.17513,0.00104,0.00104,2E-05,50864.337859,2.653715,rand,8.2E-05
1,15,7,2048,9E-05,0.00144,0.0001,0.0035,0.17513,0.00104,0.00104,4E-05,49385.068889,2.653925,read,0.00142
2,15,7,2048,8E-05,0.00142,0.0001,0.0035,0.17526,0.00104,0.00104,2E-05,49751.282679,2.655644,dist,0.0001
3,15,7,2048,8E-05,0.00141,0.0001,0.0035,0.17595,0.00104,0.00104,2E-05,49912.1548,2.666264,roulete,0.003506
4,15,7,2048,8E-05,0.00143,0.0001,0.00352,0.17684,0.00105,0.00105,5E-05,50276.544661,2.679582,route,0.175662
0,,,,,,,,,,,,,,phero,0.001042
0,,,,,,,,,,,,,,check,0.001042
0,,,,,,,,,,,,,,cpy,3E-05
0,,,,,,,,,,,,,,total,2.661826
0,15,7,4096,9E-05,0.00144,0.0001,0.00353,0.20306,0.00204,0.00204,2E-05,50379.436888,3.102995,rand,9E-05
1,15,7,4096,9E-05,0.00146,0.0001,0.00352,0.2031,0.00204,0.00204,3E-05,49765.939789,3.091722,read,0.001444
2,15,7,4096,9E-05,0.00146,0.0001,0.00353,0.20454,0.00205,0.00205,2E-05,50455.730162,3.113698,dist,0.0001
3,15,7,4096,9E-05,0.00145,0.0001,0.00355,0.20472,0.00206,0.00206,5E-05,48969.628923,3.116423,roulete,0.003536
4,15,7,4096,9E-05,0.00141,0.0001,0.00355,0.205,0.00206,0.00206,3E-05,49584.655479,3.121354,route,0.204084
0,,,,,,,,,,,,,,phero,0.00205
0,,,,,,,,,,,,,,check,0.00205
0,,,,,,,,,,,,,,cpy,3E-05
0,,,,,,,,,,,,,,total,3.1092384
0,15,7,8192,0.0001,0.00137,0.0001,0.00355,0.37122,0.00407,0.00407,3E-05,48708.815423,5.651908,rand,0.000104
1,15,7,8192,0.0001,0.00142,0.00011,0.00357,0.3745,0.00407,0.00407,3E-05,49970.459521,5.701778,read,0.001656
2,15,7,8192,0.00011,0.00133,0.00011,0.00358,0.37204,0.00409,0.00409,5E-05,48949.00713,5.664985,dist,0.000106
3,15,7,8192,0.0001,0.00134,0.0001,0.00357,0.37521,0.0041,0.0041,3E-05,49014.845471,5.712814,roulete,0.00357
4,15,7,8192,0.00011,0.00282,0.00011,0.00358,0.37468,0.00414,0.00414,3E-05,49261.265262,5.706997,route,0.37353
0,,,,,,,,,,,,,,phero,0.004094
0,,,,,,,,,,,,,,check,0.004094
0,,,,,,,,,,,,,,cpy,3.4E-05
0,,,,,,,,,,,,,,total,5.6876964
0,15,8,1024,0.00253,0.01889,0.00027,0.00707,0.32334,0.00106,0.00106,6E-05,64780.184872,5.03141,rand,0.00057
1,15,8,1024,8E-05,0.00275,0.00019,0.00502,0.31985,0.00105,0.00105,5E-05,63656.758095,4.827408,read,0.005956
2,15,8,1024,8E-05,0.00278,0.00019,0.00501,0.32036,0.00106,0.00106,5E-05,63809.080223,4.835206,dist,0.000208
3,15,8,1024,8E-05,0.00271,0.00019,0.00508,0.32305,0.00106,0.00106,5E-05,62923.183355,4.875745,roulete,0.005446
4,15,8,1024,8E-05,0.00265,0.0002,0.00505,0.32181,0.00106,0.00106,2E-05,62609.653364,4.856956,route,0.321682
0,,,,,,,,,,,,,,phero,0.001058
0,,,,,,,,,,,,,,check,0.001058
0,,,,,,,,,,,,,,cpy,4.6E-05
0,,,,,,,,,,,,,,total,4.885345
0,15,8,2048,0.00015,0.00301,0.0002,0.00506,0.3265,0.00204,0.00204,7E-05,62694.766848,4.945938,rand,0.000104
1,15,8,2048,0.0001,0.00265,0.0002,0.00507,0.32912,0.00206,0.00206,3E-05,62210.329457,4.98428,read,0.003152
2,15,8,2048,9E-05,0.00422,0.0002,0.0051,0.32848,0.00206,0.00206,3E-05,63484.636392,4.976457,dist,0.000202
3,15,8,2048,9E-05,0.00306,0.0002,0.00509,0.32728,0.00207,0.00207,0.00016,63544.163269,4.957566,roulete,0.005088
4,15,8,2048,9E-05,0.00282,0.00021,0.00512,0.3295,0.00206,0.00206,5E-05,64024.852399,4.990636,route,0.328176
0,,,,,,,,,,,,,,phero,0.002058
0,,,,,,,,,,,,,,check,0.002058
0,,,,,,,,,,,,,,cpy,6.8E-05
0,,,,,,,,,,,,,,total,4.9709754
0,15,8,4096,9E-05,0.00273,0.0002,0.00511,0.38029,0.00403,0.00403,3E-05,63982.448791,5.785311,rand,9.4E-05
1,15,8,4096,9E-05,0.00268,0.00019,0.00509,0.38083,0.00405,0.00405,6E-05,62375.93754,5.793246,read,0.002708
2,15,8,4096,0.0001,0.00279,0.0002,0.00516,0.38267,0.00406,0.00406,3E-05,63093.758096,5.827403,dist,0.000198
3,15,8,4096,9E-05,0.0027,0.0002,0.00516,0.38304,0.00406,0.00406,3E-05,62316.025805,5.827072,roulete,0.005138
4,15,8,4096,0.0001,0.00264,0.0002,0.00517,0.38226,0.00407,0.00407,7E-05,64182.12885,5.814911,route,0.381818
0,,,,,,,,,,,,,,phero,0.004054
0,,,,,,,,,,,,,,check,0.004054
0,,,,,,,,,,,,,,cpy,4.4E-05
0,,,,,,,,,,,,,,total,5.8095886
0,15,8,8192,0.0001,0.00278,0.0002,0.00516,0.90566,0.0081,0.0081,7E-05,63321.968507,13.735455,rand,0.000108
1,15,8,8192,0.00011,0.0028,0.0002,0.00518,0.90853,0.00811,0.00811,4E-05,61834.165849,13.778972,read,0.003124
2,15,8,8192,0.00011,0.00428,0.0002,0.00523,0.90928,0.00819,0.00819,8E-05,63211.272599,13.79298,dist,0.0002
3,15,8,8192,0.00011,0.00291,0.0002,0.00521,0.9151,0.00819,0.00819,4E-05,62517.61668,13.878364,roulete,0.005202
4,15,8,8192,0.00011,0.00285,0.0002,0.00523,0.91021,0.00819,0.00819,8E-05,63137.522805,13.805076,route,0.909756
0,,,,,,,,,,,,,,phero,0.008156
0,,,,,,,,,,,,,,check,0.008156
0,,,,,,,,,,,,,,cpy,6.2E-05
0,,,,,,,,,,,,,,total,13.7981694
0,15,9,1024,0.00256,0.01599,0.00173,0.04101,3.71817,0.0073,0.0073,8E-05,77417.828864,56.142686,rand,0.00256
1,15,9,1024,0.00256,0.01599,0.00173,0.04101,3.71817,0.0073,0.0073,8E-05,77417.828864,56.142686,read,0.01599
2,15,9,1024,0.00256,0.01599,0.00173,0.04101,3.71817,0.0073,0.0073,8E-05,77417.828864,56.142686,dist,0.00173
3,15,9,1024,0.00256,0.01599,0.00173,0.04101,3.71817,0.0073,0.0073,8E-05,77417.828864,56.142686,roulete,0.04101
4,15,9,1024,0.00256,0.01599,0.00173,0.04101,3.71817,0.0073,0.0073,8E-05,77417.828864,56.142686,route,3.71817
0,,,,,,,,,,,,,,phero,0.0073
0,,,,,,,,,,,,,,check,0.0073
0,,,,,,,,,,,,,,cpy,8E-05
0,,,,,,,,,,,,,,total,56.142686
0,15,9,2048,9E-05,0.01507,0.00124,0.02923,3.78169,0.01444,0.01444,6E-05,77418.757283,57.006089,rand,9E-05
1,15,9,2048,9E-05,0.01507,0.00124,0.02923,3.78169,0.01444,0.01444,6E-05,77418.757283,57.006089,read,0.01507
2,15,9,2048,9E-05,0.01507,0.00124,0.02923,3.78169,0.01444,0.01444,6E-05,77418.757283,57.006089,dist,0.00124
3,15,9,2048,9E-05,0.01507,0.00124,0.02923,3.78169,0.01444,0.01444,6E-05,77418.757283,57.006089,roulete,0.02923
4,15,9,2048,9E-05,0.01507,0.00124,0.02923,3.78169,0.01444,0.01444,6E-05,77418.757283,57.006089,route,3.78169
0,,,,,,,,,,,,,,phero,0.01444
0,,,,,,,,,,,,,,check,0.01444
0,,,,,,,,,,,,,,cpy,6E-05
0,,,,,,,,,,,,,,total,57.006089
0,15,9,4096,0.0001,0.0148,0.00124,0.02953,4.7502,0.02899,0.02899,7E-05,77042.666187,71.756943,rand,0.0001
1,15,9,4096,0.0001,0.0148,0.00124,0.02953,4.7502,0.02899,0.02899,7E-05,77042.666187,71.756943,read,0.0148
2,15,9,4096,0.0001,0.0148,0.00124,0.02953,4.7502,0.02899,0.02899,7E-05,77042.666187,71.756943,dist,0.00124
3,15,9,4096,0.0001,0.0148,0.00124,0.02953,4.7502,0.02899,0.02899,7E-05,77042.666187,71.756943,roulete,0.02953
4,15,9,4096,0.0001,0.0148,0.00124,0.02953,4.7502,0.02899,0.02899,7E-05,77042.666187,71.756943,route,4.7502
0,,,,,,,,,,,,,,phero,0.02899
0,,,,,,,,,,,,,,check,0.02899
0,,,,,,,,,,,,,,cpy,7E-05
0,,,,,,,,,,,,,,total,71.756943
0,15,9,8192,0.00011,0.01347,0.00127,0.02988,11.21717,0.05811,0.05811,8E-05,75489.119227,169.205375,rand,0.00011
1,15,9,8192,0.00011,0.01347,0.00127,0.02988,11.21717,0.05811,0.05811,8E-05,75489.119227,169.205375,read,0.01347
2,15,9,8192,0.00011,0.01347,0.00127,0.02988,11.21717,0.05811,0.05811,8E-05,75489.119227,169.205375,dist,0.00127
3,15,9,8192,0.00011,0.01347,0.00127,0.02988,11.21717,0.05811,0.05811,8E-05,75489.119227,169.205375,roulete,0.02988
4,15,9,8192,0.00011,0.01347,0.00127,0.02988,11.21717,0.05811,0.05811,8E-05,75489.119227,169.205375,route,11.21717
0,,,,,,,,,,,,,,phero,0.05811
0,,,,,,,,,,,,,,check,0.05811
0,,,,,,,,,,,,,,cpy,8E-05
0,,,,,,,,,,,,,,total,169.205375
0,15,10,1024,0.00261,0.04174,0.00124,0.02058,2.49147,0.00545,0.00545,9E-05,345696.216765,37.683058,rand,0.000598
1,15,10,1024,9E-05,0.01469,0.0009,0.01464,2.50442,0.00543,0.00543,0.00025,335820.055617,37.696476,read,0.020296
2,15,10,1024,9E-05,0.0156,0.00092,0.01479,2.53067,0.00547,0.00547,9E-05,344828.795864,38.092829,dist,0.000974
3,15,10,1024,0.0001,0.01536,0.00091,0.01477,2.52776,0.00547,0.00547,9E-05,339742.474578,38.048942,roulete,0.01591
4,15,10,1024,0.0001,0.01409,0.0009,0.01477,2.5213,0.00547,0.00547,0.0001,343937.041383,37.949385,route,2.515124
0,,,,,,,,,,,,,,phero,0.005458
0,,,,,,,,,,,,,,check,0.005458
0,,,,,,,,,,,,,,cpy,0.000124
0,,,,,,,,,,,,,,total,37.894138
0,15,10,2048,0.00011,0.01455,0.0009,0.01478,2.56191,0.01068,0.01068,6E-05,341231.021796,38.63971,rand,0.000102
1,15,10,2048,0.00011,0.01495,0.00094,0.01489,2.56567,0.01064,0.01064,0.0001,340966.992204,38.695616,read,0.014864
2,15,10,2048,0.0001,0.01429,0.00091,0.01492,2.56276,0.01063,0.01063,9E-05,339975.970876,38.650297,dist,0.000972
3,15,10,2048,0.0001,0.01502,0.00091,0.01491,2.56122,0.01065,0.01065,6E-05,337682.573724,38.631709,roulete,0.014878
4,15,10,2048,9E-05,0.01551,0.0012,0.01489,2.55693,0.01083,0.01083,0.0001,340315.523676,38.569801,route,2.561698
0,,,,,,,,,,,,,,phero,0.010686
0,,,,,,,,,,,,,,check,0.010686
0,,,,,,,,,,,,,,cpy,8.2E-05
0,,,,,,,,,,,,,,total,38.6374266
0,15,10,4096,0.0001,0.01434,0.00091,0.01491,2.9508,0.02111,0.02111,0.0001,339139.285515,44.634483,rand,0.0001
1,15,10,4096,0.0001,0.01494,0.00092,0.01507,3.01078,0.02117,0.02117,9E-05,337572.536546,45.534566,read,0.014364
2,15,10,4096,0.0001,0.01345,0.00092,0.01502,3.00892,0.02116,0.02116,0.0001,341179.080008,45.50401,dist,0.000928
3,15,10,4096,0.0001,0.01501,0.00095,0.01542,3.02205,0.02123,0.02123,8E-05,340254.78268,45.706282,roulete,0.015168
4,15,10,4096,0.0001,0.01408,0.00094,0.01542,3.03633,0.0212,0.0212,6E-05,339198.97276,45.918687,route,3.005776
0,,,,,,,,,,,,,,phero,0.021174
0,,,,,,,,,,,,,,check,0.021174
0,,,,,,,,,,,,,,cpy,8.6E-05
0,,,,,,,,,,,,,,total,45.4596056
0,15,10,8192,0.00012,0.01581,0.00092,0.01506,6.5036,0.04214,0.04214,8E-05,342206.013678,98.2508,rand,0.000162
1,15,10,8192,0.00034,0.01613,0.00091,0.01534,6.54524,0.04241,0.04241,7E-05,334040.729084,98.886114,read,0.016068
2,15,10,8192,0.00012,0.0186,0.00092,0.01508,6.56442,0.04211,0.04211,8E-05,339639.831069,99.165795,dist,0.000916
3,15,10,8192,0.00011,0.01563,0.00092,0.01506,6.55309,0.04242,0.04242,8E-05,336239.831,98.997573,roulete,0.015116
4,15,10,8192,0.00012,0.01417,0.00091,0.01504,6.54189,0.0428,0.0428,8E-05,337615.064207,98.834544,route,6.541648
0,,,,,,,,,,,,,,phero,0.042376
0,,,,,,,,,,,,,,check,0.042376
0,,,,,,,,,,,,,,cpy,7.8E-05
0,,,,,,,,,,,,,,total,98.8269652
0,15,11,1024,0.00257,0.0967,0.00669,0.12805,27.96455,0.02928,0.02928,8E-05,515660.765412,420.327309,rand,0.00257
1,15,11,1024,0.00257,0.0967,0.00669,0.12805,27.96455,0.02928,0.02928,8E-05,515660.765412,420.327309,read,0.0967
2,15,11,1024,0.00257,0.0967,0.00669,0.12805,27.96455,0.02928,0.02928,8E-05,515660.765412,420.327309,dist,0.00669
3,15,11,1024,0.00257,0.0967,0.00669,0.12805,27.96455,0.02928,0.02928,8E-05,515660.765412,420.327309,roulete,0.12805
4,15,11,1024,0.00257,0.0967,0.00669,0.12805,27.96455,0.02928,0.02928,8E-05,515660.765412,420.327309,route,27.96455
0,,,,,,,,,,,,,,phero,0.02928
0,,,,,,,,,,,,,,check,0.02928
0,,,,,,,,,,,,,,cpy,8E-05
0,,,,,,,,,,,,,,total,420.327309
0,15,11,2048,9E-05,0.0934,0.005,0.09654,28.34659,0.0582,0.0582,5E-05,514680.322195,426.327163,rand,9E-05
1,15,11,2048,9E-05,0.0934,0.005,0.09654,28.34659,0.0582,0.0582,5E-05,514680.322195,426.327163,read,0.0934
2,15,11,2048,9E-05,0.0934,0.005,0.09654,28.34659,0.0582,0.0582,5E-05,514680.322195,426.327163,dist,0.005
3,15,11,2048,9E-05,0.0934,0.005,0.09654,28.34659,0.0582,0.0582,5E-05,514680.322195,426.327163,roulete,0.09654
4,15,11,2048,9E-05,0.0934,0.005,0.09654,28.34659,0.0582,0.0582,5E-05,514680.322195,426.327163,route,28.34659
0,,,,,,,,,,,,,,phero,0.0582
0,,,,,,,,,,,,,,check,0.0582
0,,,,,,,,,,,,,,cpy,5E-05
0,,,,,,,,,,,,,,total,426.327163
0,15,11,4096,0.0001,0.09399,0.005,0.09588,35.81653,0.11695,0.11695,6E-05,512258.55499,539.252366,rand,0.0001
1,15,11,4096,0.0001,0.09399,0.005,0.09588,35.81653,0.11695,0.11695,6E-05,512258.55499,539.252366,read,0.09399
2,15,11,4096,0.0001,0.09399,0.005,0.09588,35.81653,0.11695,0.11695,6E-05,512258.55499,539.252366,dist,0.005
3,15,11,4096,0.0001,0.09399,0.005,0.09588,35.81653,0.11695,0.11695,6E-05,512258.55499,539.252366,roulete,0.09588
4,15,11,4096,0.0001,0.09399,0.005,0.09588,35.81653,0.11695,0.11695,6E-05,512258.55499,539.252366,route,35.81653
0,,,,,,,,,,,,,,phero,0.11695
0,,,,,,,,,,,,,,check,0.11695
0,,,,,,,,,,,,,,cpy,6E-05
0,,,,,,,,,,,,,,total,539.252366
0,15,11,8192,0.00012,0.09146,0.00503,0.09671,76.28606,0.23475,0.23475,6E-05,504102.960232,1148.085889,rand,0.00012
1,15,11,8192,0.00012,0.09146,0.00503,0.09671,76.28606,0.23475,0.23475,6E-05,504102.960232,1148.085889,read,0.09146
2,15,11,8192,0.00012,0.09146,0.00503,0.09671,76.28606,0.23475,0.23475,6E-05,504102.960232,1148.085889,dist,0.00503
3,15,11,8192,0.00012,0.09146,0.00503,0.09671,76.28606,0.23475,0.23475,6E-05,504102.960232,1148.085889,roulete,0.09671
4,15,11,8192,0.00012,0.09146,0.00503,0.09671,76.28606,0.23475,0.23475,6E-05,504102.960232,1148.085889,route,76.28606
0,,,,,,,,,,,,,,phero,0.23475
0,,,,,,,,,,,,,,check,0.23475
0,,,,,,,,,,,,,,cpy,6E-05
0,,,,,,,,,,,,,,total,1148.085889
0,15,12,1024,0.00253,0.06773,0.00079,0.01468,1.29641,0.0034,0.0034,8E-05,11427.89505,19.719783,rand,0.000572
1,15,12,1024,9E-05,0.00757,0.00057,0.01039,1.30766,0.00343,0.00343,7E-05,11294.223621,19.696456,read,0.020012
2,15,12,1024,8E-05,0.01084,0.00057,0.01039,1.31128,0.00345,0.00345,8E-05,11455.819748,19.752999,dist,0.000618
3,15,12,1024,8E-05,0.00647,0.00058,0.01047,1.31314,0.00345,0.00345,6E-05,11511.530166,19.776199,roulete,0.011282
4,15,12,1024,8E-05,0.00745,0.00058,0.01048,1.32161,0.00347,0.00347,6E-05,11403.531137,19.904342,route,1.31002
0,,,,,,,,,,,,,,phero,0.00344
0,,,,,,,,,,,,,,check,0.00344
0,,,,,,,,,,,,,,cpy,7E-05
0,,,,,,,,,,,,,,total,19.7699558
0,15,12,2048,9E-05,0.00709,0.00058,0.01051,1.34054,0.00669,0.00669,5E-05,11377.534129,20.238516,rand,9E-05
1,15,12,2048,9E-05,0.00653,0.00058,0.01052,1.34575,0.00669,0.00669,3E-05,11316.741364,20.31694,read,0.007196
2,15,12,2048,9E-05,0.00701,0.00058,0.01052,1.34232,0.0067,0.0067,9E-05,11339.601032,20.291457,dist,0.00058
3,15,12,2048,9E-05,0.00736,0.00058,0.01055,1.34396,0.00671,0.00671,5E-05,11388.915129,20.291325,roulete,0.010524
4,15,12,2048,9E-05,0.00799,0.00058,0.01052,1.35171,0.00673,0.00673,6E-05,11306.566932,20.41032,route,1.344856
0,,,,,,,,,,,,,,phero,0.006704
0,,,,,,,,,,,,,,check,0.006704
0,,,,,,,,,,,,,,cpy,5.6E-05
0,,,,,,,,,,,,,,total,20.3097116
0,15,12,4096,0.0001,0.00656,0.00058,0.01058,1.6234,0.01339,0.01339,6E-05,11394.342434,24.588645,rand,9.8E-05
1,15,12,4096,0.0001,0.0072,0.00065,0.01191,1.63929,0.01341,0.01341,4E-05,11242.646053,24.826577,read,0.006902
2,15,12,4096,9E-05,0.00721,0.00059,0.01081,1.64157,0.01346,0.01346,5E-05,11328.927784,24.861489,dist,0.0006
3,15,12,4096,0.0001,0.00617,0.00058,0.0106,1.62641,0.01333,0.01333,6E-05,11243.514231,24.631133,roulete,0.010972
4,15,12,4096,0.0001,0.00737,0.0006,0.01096,1.63194,0.01341,0.01341,4E-05,11311.294841,24.715293,route,1.632522
0,,,,,,,,,,,,,,phero,0.0134
0,,,,,,,,,,,,,,check,0.0134
0,,,,,,,,,,,,,,cpy,5E-05
0,,,,,,,,,,,,,,total,24.7246274
0,15,12,8192,0.00012,0.00746,0.00058,0.01061,3.90182,0.02658,0.02658,0.00045,11233.584903,58.970125,rand,0.00012
1,15,12,8192,0.00011,0.00654,0.00058,0.01054,3.90707,0.02654,0.02654,5E-05,11019.531064,59.049642,read,0.00671
2,15,12,8192,0.00014,0.00596,0.00065,0.01227,3.91746,0.02644,0.02644,6E-05,11218.21898,59.20332,dist,0.00061
3,15,12,8192,0.00012,0.00687,0.00058,0.01063,3.92614,0.02653,0.02653,6E-05,11228.995512,59.332595,roulete,0.011246
4,15,12,8192,0.00011,0.00672,0.00066,0.01218,3.93158,0.0264,0.0264,6E-05,11194.473171,59.41486,route,3.916814
0,,,,,,,,,,,,,,phero,0.026498
0,,,,,,,,,,,,,,check,0.026498
0,,,,,,,,,,,,,,cpy,0.000136
0,,,,,,,,,,,,,,total,59.1941084
