run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Best Check;  Copy Data; Total Time ; 
 0; 15; 1; 1024; 0.00253; 0.00292; 0.00002; 0.00054;  0.00906; 0.00004;  0.00004; 0.00002 ;  6659.431533 ; 0.293535 ;
 1; 15; 1; 1024; 0.00009; 0.00012; 0.00002; 0.00052;  0.00684; 0.00003;  0.00003; 0.00002 ;  6659.431533 ; 0.105936 ;
 2; 15; 1; 1024; 0.00007; 0.00011; 0.00002; 0.00039;  0.00658; 0.00003;  0.00003; 0.00002 ;  6659.431533 ; 0.102052 ;
 3; 15; 1; 1024; 0.00006; 0.00013; 0.00002; 0.00039;  0.00650; 0.00003;  0.00003; 0.00002 ;  6659.431533 ; 0.100518 ;
 4; 15; 1; 1024; 0.00007; 0.00011; 0.00002; 0.00039;  0.00649; 0.00003;  0.00003; 0.00002 ;  6659.431533 ; 0.100666 ;
 0; 15; 1; 2048; 0.00007; 0.00011; 0.00002; 0.00039;  0.00653; 0.00004;  0.00004; 0.00002 ;  6659.431533 ; 0.102893 ;
 1; 15; 1; 2048; 0.00007; 0.00012; 0.00002; 0.00038;  0.00653; 0.00004;  0.00004; 0.00002 ;  6659.431533 ; 0.103038 ;
 2; 15; 1; 2048; 0.00007; 0.00012; 0.00002; 0.00039;  0.00651; 0.00004;  0.00004; 0.00002 ;  6659.431533 ; 0.102867 ;
 3; 15; 1; 2048; 0.00007; 0.00012; 0.00002; 0.00039;  0.00654; 0.00004;  0.00004; 0.00002 ;  6659.431533 ; 0.103267 ;
 4; 15; 1; 2048; 0.00007; 0.00012; 0.00002; 0.00039;  0.00652; 0.00004;  0.00004; 0.00002 ;  6659.431533 ; 0.103138 ;
 0; 15; 1; 4096; 0.00008; 0.00011; 0.00002; 0.00039;  0.00662; 0.00007;  0.00007; 0.00002 ;  6660.427163 ; 0.108322 ;
 1; 15; 1; 4096; 0.00009; 0.00012; 0.00002; 0.00039;  0.00661; 0.00007;  0.00007; 0.00002 ;  6660.427163 ; 0.108203 ;
 2; 15; 1; 4096; 0.00009; 0.00012; 0.00002; 0.00039;  0.00662; 0.00007;  0.00007; 0.00002 ;  6660.427163 ; 0.108409 ;
 3; 15; 1; 4096; 0.00009; 0.00012; 0.00002; 0.00039;  0.00660; 0.00007;  0.00007; 0.00002 ;  6660.427163 ; 0.108139 ;
 4; 15; 1; 4096; 0.00009; 0.00012; 0.00002; 0.00039;  0.00662; 0.00007;  0.00007; 0.00002 ;  6660.427163 ; 0.108351 ;
 0; 15; 1; 8192; 0.00010; 0.00012; 0.00002; 0.00039;  0.00958; 0.00013;  0.00013; 0.00003 ;  6659.431533 ; 0.160449 ;
 1; 15; 1; 8192; 0.00010; 0.00013; 0.00002; 0.00039;  0.00964; 0.00013;  0.00013; 0.00007 ;  6659.431533 ; 0.182458 ;
 2; 15; 1; 8192; 0.00010; 0.00014; 0.00002; 0.00039;  0.00955; 0.00013;  0.00013; 0.00003 ;  6659.431533 ; 0.160246 ;
 3; 15; 1; 8192; 0.00010; 0.00012; 0.00002; 0.00039;  0.00965; 0.00013;  0.00013; 0.00002 ;  6659.431533 ; 0.161529 ;
 4; 15; 1; 8192; 0.00010; 0.00012; 0.00002; 0.00039;  0.00955; 0.00013;  0.00013; 0.00002 ;  6659.431533 ; 0.159945 ;
 0; 15; 2; 1024; 0.00259; 0.01252; 0.00120; 0.02031;  2.32341; 0.00510;  0.00510; 0.00008 ;  16190.574508 ; 35.145267 ;
 1; 15; 2; 1024; 0.00008; 0.01455; 0.00086; 0.01434;  2.33655; 0.00514;  0.00514; 0.00006 ;  16279.687098 ; 35.167386 ;
 2; 15; 2; 1024; 0.00008; 0.01097; 0.00086; 0.01437;  2.37198; 0.00518;  0.00518; 0.00006 ;  16106.701291 ; 35.695108 ;
 3; 15; 2; 1024; 0.00008; 0.01245; 0.00089; 0.01447;  2.37591; 0.00521;  0.00521; 0.00008 ;  16021.825165 ; 35.759858 ;
 4; 15; 2; 1024; 0.00008; 0.01060; 0.00088; 0.01456;  2.38756; 0.00523;  0.00523; 0.00005 ;  16265.333143 ; 35.931389 ;
 0; 15; 2; 2048; 0.00009; 0.01130; 0.00087; 0.01456;  2.40789; 0.01009;  0.01009; 0.00008 ;  16205.299284 ; 36.312054 ;
 1; 15; 2; 2048; 0.00009; 0.01155; 0.00088; 0.01457;  2.43158; 0.01016;  0.01016; 0.00004 ;  16014.476692 ; 36.671039 ;
 2; 15; 2; 2048; 0.00009; 0.01119; 0.00088; 0.01468;  2.41653; 0.01016;  0.01016; 0.00009 ;  16322.352872 ; 36.441959 ;
 3; 15; 2; 2048; 0.00009; 0.01138; 0.00089; 0.01470;  2.41972; 0.01016;  0.01016; 0.00004 ;  15991.524416 ; 36.489071 ;
 4; 15; 2; 2048; 0.00013; 0.01224; 0.00088; 0.01470;  2.43372; 0.01017;  0.01017; 0.00012 ;  15604.232286 ; 36.704787 ;
 0; 15; 2; 4096; 0.00010; 0.01215; 0.00088; 0.01468;  3.15655; 0.01999;  0.01999; 0.00020 ;  15795.007971 ; 47.697336 ;
 1; 15; 2; 4096; 0.00011; 0.01135; 0.00089; 0.01471;  3.27414; 0.02016;  0.02016; 0.00008 ;  15381.655118 ; 49.462303 ;
 2; 15; 2; 4096; 0.00010; 0.01186; 0.00089; 0.01482;  3.29376; 0.02025;  0.02025; 0.00009 ;  15715.302286 ; 49.757205 ;
 3; 15; 2; 4096; 0.00010; 0.01008; 0.00089; 0.01483;  3.27306; 0.02038;  0.02038; 0.00010 ;  15993.966121 ; 49.445698 ;
 4; 15; 2; 4096; 0.00010; 0.01127; 0.00090; 0.01509;  3.22737; 0.02032;  0.02032; 0.00120 ;  16045.352891 ; 48.763033 ;
 0; 15; 2; 8192; 0.00011; 0.01125; 0.00090; 0.01497;  7.52355; 0.04013;  0.04013; 0.00128 ;  15887.658203 ; 113.511375 ;
 1; 15; 2; 8192; 0.00011; 0.01124; 0.00089; 0.01483;  7.55271; 0.04021;  0.04021; 0.00006 ;  15755.964496 ; 113.948706 ;
 2; 15; 2; 8192; 0.00011; 0.01539; 0.00089; 0.01483;  7.53220; 0.04015;  0.04015; 0.00006 ;  15649.331041 ; 113.643568 ;
 3; 15; 2; 8192; 0.00011; 0.01387; 0.00089; 0.01486;  7.48175; 0.04016;  0.04016; 0.00006 ;  15828.903016 ; 112.884886 ;
 4; 15; 2; 8192; 0.00011; 0.01134; 0.00089; 0.01486;  7.48370; 0.04022;  0.04022; 0.00008 ;  15909.698560 ; 112.913268 ;
 0; 15; 3; 1024; 0.00254; 0.00153; 0.00007; 0.00298;  0.06964; 0.00025;  0.00025; 0.00002 ;  10980.141362 ; 1.195201 ;
 1; 15; 3; 1024; 0.00008; 0.00074; 0.00005; 0.00206;  0.06591; 0.00025;  0.00025; 0.00006 ;  11149.606775 ; 0.998712 ;
 2; 15; 3; 1024; 0.00007; 0.00077; 0.00005; 0.00206;  0.06603; 0.00024;  0.00024; 0.00002 ;  10934.736269 ; 1.000430 ;
 3; 15; 3; 1024; 0.00007; 0.00072; 0.00005; 0.00206;  0.06620; 0.00024;  0.00024; 0.00002 ;  10984.567777 ; 1.002565 ;
 4; 15; 3; 1024; 0.00007; 0.00073; 0.00005; 0.00205;  0.06578; 0.00024;  0.00024; 0.00002 ;  10902.369670 ; 0.996540 ;
 0; 15; 3; 2048; 0.00009; 0.00078; 0.00005; 0.00205;  0.06651; 0.00046;  0.00046; 0.00005 ;  10473.925590 ; 1.012460 ;
 1; 15; 3; 2048; 0.00008; 0.00074; 0.00005; 0.00206;  0.06632; 0.00046;  0.00046; 0.00005 ;  10852.969974 ; 1.009816 ;
 2; 15; 3; 2048; 0.00008; 0.00076; 0.00006; 0.00206;  0.06625; 0.00046;  0.00046; 0.00002 ;  10886.732575 ; 1.008842 ;
 3; 15; 3; 2048; 0.00008; 0.00069; 0.00005; 0.00206;  0.06627; 0.00046;  0.00046; 0.00002 ;  10738.504508 ; 1.009070 ;
 4; 15; 3; 2048; 0.00008; 0.00074; 0.00005; 0.00205;  0.06626; 0.00046;  0.00046; 0.00002 ;  10942.943410 ; 1.008892 ;
 0; 15; 3; 4096; 0.00008; 0.00075; 0.00005; 0.00206;  0.07360; 0.00089;  0.00089; 0.00002 ;  10585.985612 ; 1.128600 ;
 1; 15; 3; 4096; 0.00009; 0.00068; 0.00005; 0.00206;  0.07345; 0.00089;  0.00089; 0.00005 ;  10702.751252 ; 1.129735 ;
 2; 15; 3; 4096; 0.00009; 0.00074; 0.00005; 0.00206;  0.07339; 0.00089;  0.00089; 0.00002 ;  10960.108775 ; 1.125547 ;
 3; 15; 3; 4096; 0.00009; 0.00072; 0.00005; 0.00206;  0.07349; 0.00089;  0.00089; 0.00002 ;  10556.166591 ; 1.127058 ;
 4; 15; 3; 4096; 0.00009; 0.00074; 0.00005; 0.00206;  0.07356; 0.00089;  0.00089; 0.00002 ;  10812.230678 ; 1.127916 ;
 0; 15; 3; 8192; 0.00011; 0.00073; 0.00005; 0.00206;  0.11954; 0.00177;  0.00177; 0.00005 ;  10693.566656 ; 1.838447 ;
 1; 15; 3; 8192; 0.00011; 0.00068; 0.00005; 0.00208;  0.11933; 0.00176;  0.00176; 0.00002 ;  10567.592580 ; 1.834828 ;
 2; 15; 3; 8192; 0.00010; 0.00067; 0.00005; 0.00207;  0.11953; 0.00176;  0.00176; 0.00002 ;  10981.670155 ; 1.837625 ;
 3; 15; 3; 8192; 0.00011; 0.00074; 0.00005; 0.00207;  0.11936; 0.00176;  0.00176; 0.00002 ;  10870.104095 ; 1.835532 ;
 4; 15; 3; 8192; 0.00011; 0.00069; 0.00005; 0.00207;  0.11980; 0.00177;  0.00177; 0.00002 ;  10905.426773 ; 1.842021 ;
 0; 15; 4; 1024; 0.00261; 0.00307; 0.00013; 0.00439;  0.13083; 0.00045;  0.00045; 0.00008 ;  3151.839913 ; 2.138639 ;
 1; 15; 4; 1024; 0.00008; 0.00165; 0.00010; 0.00305;  0.12736; 0.00046;  0.00046; 0.00005 ;  3186.600989 ; 1.927329 ;
 2; 15; 4; 1024; 0.00008; 0.00190; 0.00035; 0.00305;  0.12713; 0.00054;  0.00054; 0.00007 ;  3167.641052 ; 1.925370 ;
 3; 15; 4; 1024; 0.00008; 0.00168; 0.00010; 0.00305;  0.12771; 0.00045;  0.00045; 0.00005 ;  3168.909888 ; 1.932742 ;
 4; 15; 4; 1024; 0.00008; 0.00161; 0.00010; 0.00317;  0.12763; 0.00044;  0.00044; 0.00004 ;  3194.629352 ; 1.930915 ;
 0; 15; 4; 2048; 0.00010; 0.00161; 0.00010; 0.00305;  0.12807; 0.00086;  0.00086; 0.00022 ;  3105.076026 ; 1.945813 ;
 1; 15; 4; 2048; 0.00010; 0.00155; 0.00011; 0.00306;  0.12873; 0.00083;  0.00083; 0.00008 ;  3121.490121 ; 1.955175 ;
 2; 15; 4; 2048; 0.00009; 0.00154; 0.00010; 0.00305;  0.12838; 0.00095;  0.00095; 0.00007 ;  3119.836545 ; 1.952498 ;
 3; 15; 4; 2048; 0.00009; 0.00155; 0.00010; 0.00310;  0.12936; 0.00105;  0.00105; 0.00007 ;  3162.472327 ; 1.967805 ;
 4; 15; 4; 2048; 0.00009; 0.00162; 0.00010; 0.00307;  0.12917; 0.00084;  0.00084; 0.00007 ;  3186.741700 ; 1.962012 ;
 0; 15; 4; 4096; 0.00010; 0.00156; 0.00010; 0.00307;  0.15488; 0.00173;  0.00173; 0.00003 ;  3170.850790 ; 2.364766 ;
 1; 15; 4; 4096; 0.00010; 0.00185; 0.00010; 0.00307;  0.15507; 0.00164;  0.00164; 0.00007 ;  3151.070127 ; 2.366746 ;
 2; 15; 4; 4096; 0.00011; 0.00160; 0.00010; 0.00307;  0.15522; 0.00180;  0.00180; 0.00003 ;  3053.996118 ; 2.370245 ;
 3; 15; 4; 4096; 0.00037; 0.00182; 0.00010; 0.00308;  0.15491; 0.00162;  0.00162; 0.00003 ;  3186.220770 ; 2.363124 ;
 4; 15; 4; 4096; 0.00010; 0.00154; 0.00010; 0.00308;  0.15491; 0.00163;  0.00163; 0.00007 ;  3147.482694 ; 2.362838 ;
 0; 15; 4; 8192; 0.00016; 0.00268; 0.00011; 0.00309;  0.27241; 0.00322;  0.00322; 0.00006 ;  3123.038426 ; 4.160807 ;
 1; 15; 4; 8192; 0.00011; 0.00171; 0.00010; 0.00310;  0.27269; 0.00327;  0.00327; 0.00004 ;  3060.316180 ; 4.164613 ;
 2; 15; 4; 8192; 0.00012; 0.00156; 0.00010; 0.00310;  0.27252; 0.00329;  0.00329; 0.00009 ;  3055.667328 ; 4.159567 ;
 3; 15; 4; 8192; 0.00013; 0.00280; 0.00011; 0.00315;  0.27408; 0.00340;  0.00340; 0.00003 ;  3061.916146 ; 4.195576 ;
 4; 15; 4; 8192; 0.00012; 0.00495; 0.00010; 0.00312;  0.27409; 0.00324;  0.00324; 0.00004 ;  3096.424213 ; 4.186138 ;
 0; 15; 5; 1024; 0.00256; 0.00152; 0.00007; 0.00304;  0.06867; 0.00026;  0.00026; 0.00006 ;  17857.517593 ; 1.241395 ;
 1; 15; 5; 1024; 0.00008; 0.00079; 0.00005; 0.00207;  0.06650; 0.00025;  0.00025; 0.00002 ;  17946.915741 ; 1.007548 ;
 2; 15; 5; 1024; 0.00007; 0.00076; 0.00006; 0.00208;  0.06652; 0.00025;  0.00025; 0.00003 ;  17698.158594 ; 1.007659 ;
 3; 15; 5; 1024; 0.00007; 0.00078; 0.00005; 0.00207;  0.06625; 0.00025;  0.00025; 0.00003 ;  17742.686398 ; 1.003656 ;
 4; 15; 5; 1024; 0.00007; 0.00077; 0.00005; 0.00207;  0.06650; 0.00025;  0.00025; 0.00005 ;  17734.003441 ; 1.007399 ;
 0; 15; 5; 2048; 0.00007; 0.00077; 0.00005; 0.00207;  0.06680; 0.00046;  0.00046; 0.00002 ;  17539.884696 ; 1.016881 ;
 1; 15; 5; 2048; 0.00008; 0.00076; 0.00005; 0.00207;  0.06680; 0.00046;  0.00046; 0.00002 ;  17731.215981 ; 1.017010 ;
 2; 15; 5; 2048; 0.00008; 0.00079; 0.00005; 0.00207;  0.06705; 0.00046;  0.00046; 0.00002 ;  17848.227763 ; 1.020593 ;
 3; 15; 5; 2048; 0.00008; 0.00076; 0.00005; 0.00208;  0.06726; 0.00047;  0.00047; 0.00002 ;  17932.498822 ; 1.024094 ;
 4; 15; 5; 2048; 0.00008; 0.00075; 0.00005; 0.00208;  0.06739; 0.00046;  0.00046; 0.00002 ;  17471.888289 ; 1.025826 ;
 0; 15; 5; 4096; 0.00009; 0.00078; 0.00005; 0.00208;  0.07440; 0.00090;  0.00090; 0.00005 ;  17466.847362 ; 1.141011 ;
 1; 15; 5; 4096; 0.00009; 0.00076; 0.00005; 0.00208;  0.07433; 0.00090;  0.00090; 0.00002 ;  17382.168962 ; 1.140143 ;
 2; 15; 5; 4096; 0.00009; 0.00076; 0.00005; 0.00208;  0.07431; 0.00090;  0.00090; 0.00002 ;  17516.816075 ; 1.139443 ;
 3; 15; 5; 4096; 0.00009; 0.00074; 0.00005; 0.00208;  0.07423; 0.00090;  0.00090; 0.00002 ;  17821.542578 ; 1.138387 ;
 4; 15; 5; 4096; 0.00009; 0.00075; 0.00005; 0.00208;  0.07434; 0.00090;  0.00090; 0.00002 ;  17727.694994 ; 1.140397 ;
 0; 15; 5; 8192; 0.00011; 0.00074; 0.00005; 0.00208;  0.12254; 0.00179;  0.00179; 0.00006 ;  17619.335426 ; 1.890389 ;
 1; 15; 5; 8192; 0.00011; 0.00078; 0.00007; 0.00211;  0.12275; 0.00179;  0.00179; 0.00002 ;  17787.924456 ; 1.886874 ;
 2; 15; 5; 8192; 0.00011; 0.00075; 0.00005; 0.00211;  0.12249; 0.00179;  0.00179; 0.00003 ;  17606.294539 ; 1.882892 ;
 3; 15; 5; 8192; 0.00011; 0.00076; 0.00005; 0.00211;  0.12261; 0.00179;  0.00179; 0.00002 ;  17311.803505 ; 1.884799 ;
 4; 15; 5; 8192; 0.00011; 0.00075; 0.00005; 0.00211;  0.12286; 0.00179;  0.00179; 0.00005 ;  17569.273653 ; 1.888837 ;
 0; 15; 6; 1024; 0.00254; 0.01697; 0.00212; 0.04682;  4.53007; 0.00879;  0.00879; 0.00007 ;  65288.030970 ; 68.293820 ;
 1; 15; 6; 1024; 0.00254; 0.01697; 0.00212; 0.04682;  4.53007; 0.00879;  0.00879; 0.00007 ;  65288.030970 ; 68.293820 ;
 2; 15; 6; 1024; 0.00254; 0.01697; 0.00212; 0.04682;  4.53007; 0.00879;  0.00879; 0.00007 ;  65288.030970 ; 68.293820 ;
 3; 15; 6; 1024; 0.00254; 0.01697; 0.00212; 0.04682;  4.53007; 0.00879;  0.00879; 0.00007 ;  65288.030970 ; 68.293820 ;
 4; 15; 6; 1024; 0.00254; 0.01697; 0.00212; 0.04682;  4.53007; 0.00879;  0.00879; 0.00007 ;  65288.030970 ; 68.293820 ;
 0; 15; 6; 2048; 0.00009; 0.01865; 0.00147; 0.03207;  4.65822; 0.01749;  0.01749; 0.00007 ;  63729.870599 ; 70.214166 ;
 1; 15; 6; 2048; 0.00009; 0.01865; 0.00147; 0.03207;  4.65822; 0.01749;  0.01749; 0.00007 ;  63729.870599 ; 70.214166 ;
 2; 15; 6; 2048; 0.00009; 0.01865; 0.00147; 0.03207;  4.65822; 0.01749;  0.01749; 0.00007 ;  63729.870599 ; 70.214166 ;
 3; 15; 6; 2048; 0.00009; 0.01865; 0.00147; 0.03207;  4.65822; 0.01749;  0.01749; 0.00007 ;  63729.870599 ; 70.214166 ;
 4; 15; 6; 2048; 0.00009; 0.01865; 0.00147; 0.03207;  4.65822; 0.01749;  0.01749; 0.00007 ;  63729.870599 ; 70.214166 ;
 0; 15; 6; 4096; 0.00009; 0.01888; 0.00151; 0.03228;  5.73316; 0.03499;  0.03499; 0.00007 ;  64781.891099 ; 86.605073 ;
 1; 15; 6; 4096; 0.00009; 0.01888; 0.00151; 0.03228;  5.73316; 0.03499;  0.03499; 0.00007 ;  64781.891099 ; 86.605073 ;
 2; 15; 6; 4096; 0.00009; 0.01888; 0.00151; 0.03228;  5.73316; 0.03499;  0.03499; 0.00007 ;  64781.891099 ; 86.605073 ;
 3; 15; 6; 4096; 0.00009; 0.01888; 0.00151; 0.03228;  5.73316; 0.03499;  0.03499; 0.00007 ;  64781.891099 ; 86.605073 ;
 4; 15; 6; 4096; 0.00009; 0.01888; 0.00151; 0.03228;  5.73316; 0.03499;  0.03499; 0.00007 ;  64781.891099 ; 86.605073 ;
 0; 15; 6; 8192; 0.00011; 0.01755; 0.00150; 0.03307;  13.01940; 0.07000;  0.07000; 0.00005 ;  63199.100808 ; 196.426139 ;
 1; 15; 6; 8192; 0.00011; 0.01755; 0.00150; 0.03307;  13.01940; 0.07000;  0.07000; 0.00005 ;  63199.100808 ; 196.426139 ;
 2; 15; 6; 8192; 0.00011; 0.01755; 0.00150; 0.03307;  13.01940; 0.07000;  0.07000; 0.00005 ;  63199.100808 ; 196.426139 ;
 3; 15; 6; 8192; 0.00011; 0.01755; 0.00150; 0.03307;  13.01940; 0.07000;  0.07000; 0.00005 ;  63199.100808 ; 196.426139 ;
 4; 15; 6; 8192; 0.00011; 0.01755; 0.00150; 0.03307;  13.01940; 0.07000;  0.07000; 0.00005 ;  63199.100808 ; 196.426139 ;
