run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Best Check;  Copy Data; Total Time ; 
 0; 15; 7; 1024; 0.00253; 0.04470; 0.00014; 0.00515;  0.17673; 0.00055;  0.00055; 0.00007 ;  50226.879025 ; 2.847358 ;
 1; 15; 7; 1024; 0.00008; 0.00149; 0.00010; 0.00350;  0.17418; 0.00054;  0.00054; 0.00004 ;  50034.365323 ; 2.630457 ;
 2; 15; 7; 1024; 0.00007; 0.00148; 0.00010; 0.00350;  0.17428; 0.00054;  0.00054; 0.00002 ;  50679.010822 ; 2.632015 ;
 3; 15; 7; 1024; 0.00007; 0.00148; 0.00010; 0.00352;  0.17438; 0.00054;  0.00054; 0.00002 ;  50483.178122 ; 2.633308 ;
 4; 15; 7; 1024; 0.00007; 0.00144; 0.00010; 0.00350;  0.17426; 0.00055;  0.00055; 0.00006 ;  50347.057833 ; 2.631596 ;
 0; 15; 7; 2048; 0.00008; 0.00140; 0.00010; 0.00351;  0.17513; 0.00104;  0.00104; 0.00002 ;  50864.337859 ; 2.653715 ;
 1; 15; 7; 2048; 0.00009; 0.00144; 0.00010; 0.00350;  0.17513; 0.00104;  0.00104; 0.00004 ;  49385.068889 ; 2.653925 ;
 2; 15; 7; 2048; 0.00008; 0.00142; 0.00010; 0.00350;  0.17526; 0.00104;  0.00104; 0.00002 ;  49751.282679 ; 2.655644 ;
 3; 15; 7; 2048; 0.00008; 0.00141; 0.00010; 0.00350;  0.17595; 0.00104;  0.00104; 0.00002 ;  49912.154800 ; 2.666264 ;
 4; 15; 7; 2048; 0.00008; 0.00143; 0.00010; 0.00352;  0.17684; 0.00105;  0.00105; 0.00005 ;  50276.544661 ; 2.679582 ;
 0; 15; 7; 4096; 0.00009; 0.00144; 0.00010; 0.00353;  0.20306; 0.00204;  0.00204; 0.00002 ;  50379.436888 ; 3.102995 ;
 1; 15; 7; 4096; 0.00009; 0.00146; 0.00010; 0.00352;  0.20310; 0.00204;  0.00204; 0.00003 ;  49765.939789 ; 3.091722 ;
 2; 15; 7; 4096; 0.00009; 0.00146; 0.00010; 0.00353;  0.20454; 0.00205;  0.00205; 0.00002 ;  50455.730162 ; 3.113698 ;
 3; 15; 7; 4096; 0.00009; 0.00145; 0.00010; 0.00355;  0.20472; 0.00206;  0.00206; 0.00005 ;  48969.628923 ; 3.116423 ;
 4; 15; 7; 4096; 0.00009; 0.00141; 0.00010; 0.00355;  0.20500; 0.00206;  0.00206; 0.00003 ;  49584.655479 ; 3.121354 ;
 0; 15; 7; 8192; 0.00010; 0.00137; 0.00010; 0.00355;  0.37122; 0.00407;  0.00407; 0.00003 ;  48708.815423 ; 5.651908 ;
 1; 15; 7; 8192; 0.00010; 0.00142; 0.00011; 0.00357;  0.37450; 0.00407;  0.00407; 0.00003 ;  49970.459521 ; 5.701778 ;
 2; 15; 7; 8192; 0.00011; 0.00133; 0.00011; 0.00358;  0.37204; 0.00409;  0.00409; 0.00005 ;  48949.007130 ; 5.664985 ;
 3; 15; 7; 8192; 0.00010; 0.00134; 0.00010; 0.00357;  0.37521; 0.00410;  0.00410; 0.00003 ;  49014.845471 ; 5.712814 ;
 4; 15; 7; 8192; 0.00011; 0.00282; 0.00011; 0.00358;  0.37468; 0.00414;  0.00414; 0.00003 ;  49261.265262 ; 5.706997 ;
 0; 15; 8; 1024; 0.00253; 0.01889; 0.00027; 0.00707;  0.32334; 0.00106;  0.00106; 0.00006 ;  64780.184872 ; 5.031410 ;
 1; 15; 8; 1024; 0.00008; 0.00275; 0.00019; 0.00502;  0.31985; 0.00105;  0.00105; 0.00005 ;  63656.758095 ; 4.827408 ;
 2; 15; 8; 1024; 0.00008; 0.00278; 0.00019; 0.00501;  0.32036; 0.00106;  0.00106; 0.00005 ;  63809.080223 ; 4.835206 ;
 3; 15; 8; 1024; 0.00008; 0.00271; 0.00019; 0.00508;  0.32305; 0.00106;  0.00106; 0.00005 ;  62923.183355 ; 4.875745 ;
 4; 15; 8; 1024; 0.00008; 0.00265; 0.00020; 0.00505;  0.32181; 0.00106;  0.00106; 0.00002 ;  62609.653364 ; 4.856956 ;
 0; 15; 8; 2048; 0.00015; 0.00301; 0.00020; 0.00506;  0.32650; 0.00204;  0.00204; 0.00007 ;  62694.766848 ; 4.945938 ;
 1; 15; 8; 2048; 0.00010; 0.00265; 0.00020; 0.00507;  0.32912; 0.00206;  0.00206; 0.00003 ;  62210.329457 ; 4.984280 ;
 2; 15; 8; 2048; 0.00009; 0.00422; 0.00020; 0.00510;  0.32848; 0.00206;  0.00206; 0.00003 ;  63484.636392 ; 4.976457 ;
 3; 15; 8; 2048; 0.00009; 0.00306; 0.00020; 0.00509;  0.32728; 0.00207;  0.00207; 0.00016 ;  63544.163269 ; 4.957566 ;
 4; 15; 8; 2048; 0.00009; 0.00282; 0.00021; 0.00512;  0.32950; 0.00206;  0.00206; 0.00005 ;  64024.852399 ; 4.990636 ;
 0; 15; 8; 4096; 0.00009; 0.00273; 0.00020; 0.00511;  0.38029; 0.00403;  0.00403; 0.00003 ;  63982.448791 ; 5.785311 ;
 1; 15; 8; 4096; 0.00009; 0.00268; 0.00019; 0.00509;  0.38083; 0.00405;  0.00405; 0.00006 ;  62375.937540 ; 5.793246 ;
 2; 15; 8; 4096; 0.00010; 0.00279; 0.00020; 0.00516;  0.38267; 0.00406;  0.00406; 0.00003 ;  63093.758096 ; 5.827403 ;
 3; 15; 8; 4096; 0.00009; 0.00270; 0.00020; 0.00516;  0.38304; 0.00406;  0.00406; 0.00003 ;  62316.025805 ; 5.827072 ;
 4; 15; 8; 4096; 0.00010; 0.00264; 0.00020; 0.00517;  0.38226; 0.00407;  0.00407; 0.00007 ;  64182.128850 ; 5.814911 ;
 0; 15; 8; 8192; 0.00010; 0.00278; 0.00020; 0.00516;  0.90566; 0.00810;  0.00810; 0.00007 ;  63321.968507 ; 13.735455 ;
 1; 15; 8; 8192; 0.00011; 0.00280; 0.00020; 0.00518;  0.90853; 0.00811;  0.00811; 0.00004 ;  61834.165849 ; 13.778972 ;
 2; 15; 8; 8192; 0.00011; 0.00428; 0.00020; 0.00523;  0.90928; 0.00819;  0.00819; 0.00008 ;  63211.272599 ; 13.792980 ;
 3; 15; 8; 8192; 0.00011; 0.00291; 0.00020; 0.00521;  0.91510; 0.00819;  0.00819; 0.00004 ;  62517.616680 ; 13.878364 ;
 4; 15; 8; 8192; 0.00011; 0.00285; 0.00020; 0.00523;  0.91021; 0.00819;  0.00819; 0.00008 ;  63137.522805 ; 13.805076 ;
 0; 15; 9; 1024; 0.00256; 0.01599; 0.00173; 0.04101;  3.71817; 0.00730;  0.00730; 0.00008 ;  77417.828864 ; 56.142686 ;
 1; 15; 9; 1024; 0.00256; 0.01599; 0.00173; 0.04101;  3.71817; 0.00730;  0.00730; 0.00008 ;  77417.828864 ; 56.142686 ;
 2; 15; 9; 1024; 0.00256; 0.01599; 0.00173; 0.04101;  3.71817; 0.00730;  0.00730; 0.00008 ;  77417.828864 ; 56.142686 ;
 3; 15; 9; 1024; 0.00256; 0.01599; 0.00173; 0.04101;  3.71817; 0.00730;  0.00730; 0.00008 ;  77417.828864 ; 56.142686 ;
 4; 15; 9; 1024; 0.00256; 0.01599; 0.00173; 0.04101;  3.71817; 0.00730;  0.00730; 0.00008 ;  77417.828864 ; 56.142686 ;
 0; 15; 9; 2048; 0.00009; 0.01507; 0.00124; 0.02923;  3.78169; 0.01444;  0.01444; 0.00006 ;  77418.757283 ; 57.006089 ;
 1; 15; 9; 2048; 0.00009; 0.01507; 0.00124; 0.02923;  3.78169; 0.01444;  0.01444; 0.00006 ;  77418.757283 ; 57.006089 ;
 2; 15; 9; 2048; 0.00009; 0.01507; 0.00124; 0.02923;  3.78169; 0.01444;  0.01444; 0.00006 ;  77418.757283 ; 57.006089 ;
 3; 15; 9; 2048; 0.00009; 0.01507; 0.00124; 0.02923;  3.78169; 0.01444;  0.01444; 0.00006 ;  77418.757283 ; 57.006089 ;
 4; 15; 9; 2048; 0.00009; 0.01507; 0.00124; 0.02923;  3.78169; 0.01444;  0.01444; 0.00006 ;  77418.757283 ; 57.006089 ;
 0; 15; 9; 4096; 0.00010; 0.01480; 0.00124; 0.02953;  4.75020; 0.02899;  0.02899; 0.00007 ;  77042.666187 ; 71.756943 ;
 1; 15; 9; 4096; 0.00010; 0.01480; 0.00124; 0.02953;  4.75020; 0.02899;  0.02899; 0.00007 ;  77042.666187 ; 71.756943 ;
 2; 15; 9; 4096; 0.00010; 0.01480; 0.00124; 0.02953;  4.75020; 0.02899;  0.02899; 0.00007 ;  77042.666187 ; 71.756943 ;
 3; 15; 9; 4096; 0.00010; 0.01480; 0.00124; 0.02953;  4.75020; 0.02899;  0.02899; 0.00007 ;  77042.666187 ; 71.756943 ;
 4; 15; 9; 4096; 0.00010; 0.01480; 0.00124; 0.02953;  4.75020; 0.02899;  0.02899; 0.00007 ;  77042.666187 ; 71.756943 ;
 0; 15; 9; 8192; 0.00011; 0.01347; 0.00127; 0.02988;  11.21717; 0.05811;  0.05811; 0.00008 ;  75489.119227 ; 169.205375 ;
 1; 15; 9; 8192; 0.00011; 0.01347; 0.00127; 0.02988;  11.21717; 0.05811;  0.05811; 0.00008 ;  75489.119227 ; 169.205375 ;
 2; 15; 9; 8192; 0.00011; 0.01347; 0.00127; 0.02988;  11.21717; 0.05811;  0.05811; 0.00008 ;  75489.119227 ; 169.205375 ;
 3; 15; 9; 8192; 0.00011; 0.01347; 0.00127; 0.02988;  11.21717; 0.05811;  0.05811; 0.00008 ;  75489.119227 ; 169.205375 ;
 4; 15; 9; 8192; 0.00011; 0.01347; 0.00127; 0.02988;  11.21717; 0.05811;  0.05811; 0.00008 ;  75489.119227 ; 169.205375 ;
 0; 15; 10; 1024; 0.00261; 0.04174; 0.00124; 0.02058;  2.49147; 0.00545;  0.00545; 0.00009 ;  345696.216765 ; 37.683058 ;
 1; 15; 10; 1024; 0.00009; 0.01469; 0.00090; 0.01464;  2.50442; 0.00543;  0.00543; 0.00025 ;  335820.055617 ; 37.696476 ;
 2; 15; 10; 1024; 0.00009; 0.01560; 0.00092; 0.01479;  2.53067; 0.00547;  0.00547; 0.00009 ;  344828.795864 ; 38.092829 ;
 3; 15; 10; 1024; 0.00010; 0.01536; 0.00091; 0.01477;  2.52776; 0.00547;  0.00547; 0.00009 ;  339742.474578 ; 38.048942 ;
 4; 15; 10; 1024; 0.00010; 0.01409; 0.00090; 0.01477;  2.52130; 0.00547;  0.00547; 0.00010 ;  343937.041383 ; 37.949385 ;
 0; 15; 10; 2048; 0.00011; 0.01455; 0.00090; 0.01478;  2.56191; 0.01068;  0.01068; 0.00006 ;  341231.021796 ; 38.639710 ;
 1; 15; 10; 2048; 0.00011; 0.01495; 0.00094; 0.01489;  2.56567; 0.01064;  0.01064; 0.00010 ;  340966.992204 ; 38.695616 ;
 2; 15; 10; 2048; 0.00010; 0.01429; 0.00091; 0.01492;  2.56276; 0.01063;  0.01063; 0.00009 ;  339975.970876 ; 38.650297 ;
 3; 15; 10; 2048; 0.00010; 0.01502; 0.00091; 0.01491;  2.56122; 0.01065;  0.01065; 0.00006 ;  337682.573724 ; 38.631709 ;
 4; 15; 10; 2048; 0.00009; 0.01551; 0.00120; 0.01489;  2.55693; 0.01083;  0.01083; 0.00010 ;  340315.523676 ; 38.569801 ;
 0; 15; 10; 4096; 0.00010; 0.01434; 0.00091; 0.01491;  2.95080; 0.02111;  0.02111; 0.00010 ;  339139.285515 ; 44.634483 ;
 1; 15; 10; 4096; 0.00010; 0.01494; 0.00092; 0.01507;  3.01078; 0.02117;  0.02117; 0.00009 ;  337572.536546 ; 45.534566 ;
 2; 15; 10; 4096; 0.00010; 0.01345; 0.00092; 0.01502;  3.00892; 0.02116;  0.02116; 0.00010 ;  341179.080008 ; 45.504010 ;
 3; 15; 10; 4096; 0.00010; 0.01501; 0.00095; 0.01542;  3.02205; 0.02123;  0.02123; 0.00008 ;  340254.782680 ; 45.706282 ;
 4; 15; 10; 4096; 0.00010; 0.01408; 0.00094; 0.01542;  3.03633; 0.02120;  0.02120; 0.00006 ;  339198.972760 ; 45.918687 ;
 0; 15; 10; 8192; 0.00012; 0.01581; 0.00092; 0.01506;  6.50360; 0.04214;  0.04214; 0.00008 ;  342206.013678 ; 98.250800 ;
 1; 15; 10; 8192; 0.00034; 0.01613; 0.00091; 0.01534;  6.54524; 0.04241;  0.04241; 0.00007 ;  334040.729084 ; 98.886114 ;
 2; 15; 10; 8192; 0.00012; 0.01860; 0.00092; 0.01508;  6.56442; 0.04211;  0.04211; 0.00008 ;  339639.831069 ; 99.165795 ;
 3; 15; 10; 8192; 0.00011; 0.01563; 0.00092; 0.01506;  6.55309; 0.04242;  0.04242; 0.00008 ;  336239.831000 ; 98.997573 ;
 4; 15; 10; 8192; 0.00012; 0.01417; 0.00091; 0.01504;  6.54189; 0.04280;  0.04280; 0.00008 ;  337615.064207 ; 98.834544 ;
 0; 15; 11; 1024; 0.00257; 0.09670; 0.00669; 0.12805;  27.96455; 0.02928;  0.02928; 0.00008 ;  515660.765412 ; 420.327309 ;
 1; 15; 11; 1024; 0.00257; 0.09670; 0.00669; 0.12805;  27.96455; 0.02928;  0.02928; 0.00008 ;  515660.765412 ; 420.327309 ;
 2; 15; 11; 1024; 0.00257; 0.09670; 0.00669; 0.12805;  27.96455; 0.02928;  0.02928; 0.00008 ;  515660.765412 ; 420.327309 ;
 3; 15; 11; 1024; 0.00257; 0.09670; 0.00669; 0.12805;  27.96455; 0.02928;  0.02928; 0.00008 ;  515660.765412 ; 420.327309 ;
 4; 15; 11; 1024; 0.00257; 0.09670; 0.00669; 0.12805;  27.96455; 0.02928;  0.02928; 0.00008 ;  515660.765412 ; 420.327309 ;
 0; 15; 11; 2048; 0.00009; 0.09340; 0.00500; 0.09654;  28.34659; 0.05820;  0.05820; 0.00005 ;  514680.322195 ; 426.327163 ;
 1; 15; 11; 2048; 0.00009; 0.09340; 0.00500; 0.09654;  28.34659; 0.05820;  0.05820; 0.00005 ;  514680.322195 ; 426.327163 ;
 2; 15; 11; 2048; 0.00009; 0.09340; 0.00500; 0.09654;  28.34659; 0.05820;  0.05820; 0.00005 ;  514680.322195 ; 426.327163 ;
 3; 15; 11; 2048; 0.00009; 0.09340; 0.00500; 0.09654;  28.34659; 0.05820;  0.05820; 0.00005 ;  514680.322195 ; 426.327163 ;
 4; 15; 11; 2048; 0.00009; 0.09340; 0.00500; 0.09654;  28.34659; 0.05820;  0.05820; 0.00005 ;  514680.322195 ; 426.327163 ;
 0; 15; 11; 4096; 0.00010; 0.09399; 0.00500; 0.09588;  35.81653; 0.11695;  0.11695; 0.00006 ;  512258.554990 ; 539.252366 ;
 1; 15; 11; 4096; 0.00010; 0.09399; 0.00500; 0.09588;  35.81653; 0.11695;  0.11695; 0.00006 ;  512258.554990 ; 539.252366 ;
 2; 15; 11; 4096; 0.00010; 0.09399; 0.00500; 0.09588;  35.81653; 0.11695;  0.11695; 0.00006 ;  512258.554990 ; 539.252366 ;
 3; 15; 11; 4096; 0.00010; 0.09399; 0.00500; 0.09588;  35.81653; 0.11695;  0.11695; 0.00006 ;  512258.554990 ; 539.252366 ;
 4; 15; 11; 4096; 0.00010; 0.09399; 0.00500; 0.09588;  35.81653; 0.11695;  0.11695; 0.00006 ;  512258.554990 ; 539.252366 ;
 0; 15; 11; 8192; 0.00012; 0.09146; 0.00503; 0.09671;  76.28606; 0.23475;  0.23475; 0.00006 ;  504102.960232 ; 1148.085889 ;
 1; 15; 11; 8192; 0.00012; 0.09146; 0.00503; 0.09671;  76.28606; 0.23475;  0.23475; 0.00006 ;  504102.960232 ; 1148.085889 ;
 2; 15; 11; 8192; 0.00012; 0.09146; 0.00503; 0.09671;  76.28606; 0.23475;  0.23475; 0.00006 ;  504102.960232 ; 1148.085889 ;
 3; 15; 11; 8192; 0.00012; 0.09146; 0.00503; 0.09671;  76.28606; 0.23475;  0.23475; 0.00006 ;  504102.960232 ; 1148.085889 ;
 4; 15; 11; 8192; 0.00012; 0.09146; 0.00503; 0.09671;  76.28606; 0.23475;  0.23475; 0.00006 ;  504102.960232 ; 1148.085889 ;
 0; 15; 12; 1024; 0.00253; 0.06773; 0.00079; 0.01468;  1.29641; 0.00340;  0.00340; 0.00008 ;  11427.895050 ; 19.719783 ;
 1; 15; 12; 1024; 0.00009; 0.00757; 0.00057; 0.01039;  1.30766; 0.00343;  0.00343; 0.00007 ;  11294.223621 ; 19.696456 ;
 2; 15; 12; 1024; 0.00008; 0.01084; 0.00057; 0.01039;  1.31128; 0.00345;  0.00345; 0.00008 ;  11455.819748 ; 19.752999 ;
 3; 15; 12; 1024; 0.00008; 0.00647; 0.00058; 0.01047;  1.31314; 0.00345;  0.00345; 0.00006 ;  11511.530166 ; 19.776199 ;
 4; 15; 12; 1024; 0.00008; 0.00745; 0.00058; 0.01048;  1.32161; 0.00347;  0.00347; 0.00006 ;  11403.531137 ; 19.904342 ;
 0; 15; 12; 2048; 0.00009; 0.00709; 0.00058; 0.01051;  1.34054; 0.00669;  0.00669; 0.00005 ;  11377.534129 ; 20.238516 ;
 1; 15; 12; 2048; 0.00009; 0.00653; 0.00058; 0.01052;  1.34575; 0.00669;  0.00669; 0.00003 ;  11316.741364 ; 20.316940 ;
 2; 15; 12; 2048; 0.00009; 0.00701; 0.00058; 0.01052;  1.34232; 0.00670;  0.00670; 0.00009 ;  11339.601032 ; 20.291457 ;
 3; 15; 12; 2048; 0.00009; 0.00736; 0.00058; 0.01055;  1.34396; 0.00671;  0.00671; 0.00005 ;  11388.915129 ; 20.291325 ;
 4; 15; 12; 2048; 0.00009; 0.00799; 0.00058; 0.01052;  1.35171; 0.00673;  0.00673; 0.00006 ;  11306.566932 ; 20.410320 ;
 0; 15; 12; 4096; 0.00010; 0.00656; 0.00058; 0.01058;  1.62340; 0.01339;  0.01339; 0.00006 ;  11394.342434 ; 24.588645 ;
 1; 15; 12; 4096; 0.00010; 0.00720; 0.00065; 0.01191;  1.63929; 0.01341;  0.01341; 0.00004 ;  11242.646053 ; 24.826577 ;
 2; 15; 12; 4096; 0.00009; 0.00721; 0.00059; 0.01081;  1.64157; 0.01346;  0.01346; 0.00005 ;  11328.927784 ; 24.861489 ;
 3; 15; 12; 4096; 0.00010; 0.00617; 0.00058; 0.01060;  1.62641; 0.01333;  0.01333; 0.00006 ;  11243.514231 ; 24.631133 ;
 4; 15; 12; 4096; 0.00010; 0.00737; 0.00060; 0.01096;  1.63194; 0.01341;  0.01341; 0.00004 ;  11311.294841 ; 24.715293 ;
 0; 15; 12; 8192; 0.00012; 0.00746; 0.00058; 0.01061;  3.90182; 0.02658;  0.02658; 0.00045 ;  11233.584903 ; 58.970125 ;
 1; 15; 12; 8192; 0.00011; 0.00654; 0.00058; 0.01054;  3.90707; 0.02654;  0.02654; 0.00005 ;  11019.531064 ; 59.049642 ;
 2; 15; 12; 8192; 0.00014; 0.00596; 0.00065; 0.01227;  3.91746; 0.02644;  0.02644; 0.00006 ;  11218.218980 ; 59.203320 ;
 3; 15; 12; 8192; 0.00012; 0.00687; 0.00058; 0.01063;  3.92614; 0.02653;  0.02653; 0.00006 ;  11228.995512 ; 59.332595 ;
 4; 15; 12; 8192; 0.00011; 0.00672; 0.00066; 0.01218;  3.93158; 0.02640;  0.02640; 0.00006 ;  11194.473171 ; 59.414860 ;

